"competenciamov";"saldomovimentacao";"pais";"continente";"uf";"municipio";"cbo2002ocupacao";"subclasse";"secao";"categoria";"sexo";"nivel_instrucao";"salario";"faixa_etaria";"racacor";"faixa_horas_contrat";"indtrabparcial";"indtrabintermitente";"tipomovimentacao";"unidadesalariocodigo";"valorsalariofixo";"status_migratorio"
"202202";"-1";"ARÁBIA SAUDITA";"ÁSIA";"52";"520870";"322205";"8660700";"Q";"101";"3";"04";"2200";"05";"6";"06";"0";"0";"43";"5";"2200";"Sem informação"
"202202";"1";"HOLANDA";"EUROPA";"35";"999999";"422110";"8630504";"Q";"101";"3";"06";"2500";"04";"1";"06";"0";"0";"97";"";"";"Sem informação"
"202202";"-1";"HAITI";"AMÉRICA CENTRAL E CARIBE";"41";"999999";"414140";"4530704";"G";"101";"1";"03";"2197.52";"03";"6";"06";"0";"0";"31";"";"";"Sem informação"
"202202";"1";"HAITI";"AMÉRICA CENTRAL E CARIBE";"35";"999999";"783210";"4693100";"G";"101";"1";"04";"1669.7";"03";"6";"06";"0";"0";"97";"";"";"Refugiado/solicitante de refúgio"
"202202";"1";"VENEZUELA";"AMÉRICA DO SUL";"50";"999999";"717020";"4222701";"F";"101";"1";"04";"1315.6";"03";"6";"06";"0";"0";"97";"";"";"Sem informação"
"202202";"-1";"NATURALIDADE BRASILEIRA";"NATURALIDADE BRASILEIRA";"41";"999999";"142105";"6462000";"K";"101";"1";"06";"14106.84";"04";"1";"05";"0";"0";"40";"";"";"Sem informação"
"202202";"-1";"NATURALIDADE BRASILEIRA";"NATURALIDADE BRASILEIRA";"35";"999999";"521125";"7830200";"N";"101";"1";"04";"1387.33";"03";"1";"06";"0";"0";"32";"";"";"Sem informação"
"202202";"-1";"VENEZUELA";"AMÉRICA DO SUL";"51";"999999";"724410";"4292801";"F";"101";"1";"04";"3000";"06";"6";"06";"0";"0";"43";"";"";"Sem informação"
"202202";"1";"VENEZUELA";"AMÉRICA DO SUL";"43";"999999";"717020";"4399103";"F";"101";"1";"02";"1441";"02";"1";"06";"0";"0";"97";"";"";"Refugiado/solicitante de refúgio"
"202202";"1";"ARGENTINA";"AMÉRICA DO SUL";"43";"999999";"622020";"121101";"A";"101";"1";"02";"1306";"02";"3";"06";"0";"0";"97";"";"";"Sem informação"
"202202";"1";"ARGENTINA";"AMÉRICA DO SUL";"43";"999999";"622020";"121101";"A";"101";"1";"02";"1306";"03";"3";"06";"0";"0";"97";"";"";"Sem informação"
"202202";"1";"NATURALIDADE BRASILEIRA";"NATURALIDADE BRASILEIRA";"52";"999999";"732120";"3811400";"E";"101";"1";"04";"1939.44";"04";"6";"06";"0";"0";"97";"";"";"Permanente"
"202202";"1";"HAITI";"AMÉRICA CENTRAL E CARIBE";"42";"999999";"142335";"7911200";"N";"101";"1";"04";"1931.6";"04";"6";"06";"0";"0";"97";"";"";"Permanente"
"202202";"1";"ARGENTINA";"AMÉRICA DO SUL";"43";"999999";"622020";"121101";"A";"102";"1";"01";"1306";"02";"1";"06";"0";"0";"97";"";"";"Sem informação"
"202202";"1";"ARGENTINA";"AMÉRICA DO SUL";"43";"999999";"622020";"121101";"A";"102";"1";"02";"1306";"06";"1";"06";"0";"0";"97";"";"";"Sem informação"
"202202";"1";"ARGENTINA";"AMÉRICA DO SUL";"43";"999999";"622020";"121101";"A";"102";"3";"01";"1306";"03";"1";"06";"0";"0";"97";"";"";"Sem informação"
"202202";"1";"ARGENTINA";"AMÉRICA DO SUL";"43";"999999";"622020";"121101";"A";"102";"1";"02";"1306";"02";"1";"06";"0";"0";"97";"";"";"Sem informação"
"202202";"1";"ARGENTINA";"AMÉRICA DO SUL";"43";"999999";"622020";"121101";"A";"102";"1";"02";"1306";"02";"1";"06";"0";"0";"97";"";"";"Sem informação"
"202202";"1";"ARGENTINA";"AMÉRICA DO SUL";"43";"999999";"622020";"121101";"A";"102";"1";"01";"1306";"02";"1";"06";"0";"0";"97";"";"";"Sem informação"
"202202";"1";"ARGENTINA";"AMÉRICA DO SUL";"43";"999999";"622020";"121101";"A";"102";"1";"02";"1306";"02";"1";"06";"0";"0";"97";"";"";"Sem informação"
"202202";"1";"ARGENTINA";"AMÉRICA DO SUL";"43";"999999";"622020";"121101";"A";"102";"1";"01";"1306";"02";"1";"06";"0";"0";"97";"";"";"Sem informação"
"202202";"-1";"VENEZUELA";"AMÉRICA DO SUL";"13";"999999";"724440";"4330499";"F";"101";"1";"04";"2749.89";"05";"3";"06";"0";"0";"43";"5";"2749.89";"Sem informação"
"202202";"-1";"VENEZUELA";"AMÉRICA DO SUL";"13";"999999";"724440";"4330499";"F";"101";"1";"04";"2749.89";"04";"3";"06";"0";"0";"43";"5";"2749.89";"Temporário"
"202202";"-1";"VENEZUELA";"AMÉRICA DO SUL";"13";"999999";"724440";"4330499";"F";"101";"1";"04";"2749.89";"03";"6";"06";"0";"0";"43";"5";"2749.89";"Refugiado/solicitante de refúgio"
"202202";"1";"HAITI";"AMÉRICA CENTRAL E CARIBE";"42";"999999";"513505";"5611201";"I";"101";"3";"04";"1467";"03";"2";"06";"0";"0";"97";"5";"1467";"Sem informação"
"202202";"1";"VENEZUELA";"AMÉRICA DO SUL";"13";"999999";"513505";"5620104";"I";"101";"1";"04";"1212";"03";"3";"06";"0";"0";"97";"5";"1212";"Sem informação"
"202202";"1";"NATURALIDADE BRASILEIRA";"NATURALIDADE BRASILEIRA";"35";"999999";"391115";"7830200";"N";"106";"1";"04";"1607.97";"06";"2";"05";"0";"0";"97";"5";"1607.97";"Sem informação"
"202202";"-1";"HAITI";"AMÉRICA CENTRAL E CARIBE";"42";"999999";"784205";"2539001";"C";"101";"1";"01";"1477";"04";"2";"06";"0";"0";"31";"5";"1477";"Permanente"
"202202";"-1";"VENEZUELA";"AMÉRICA DO SUL";"13";"999999";"513435";"5611203";"I";"101";"3";"04";"1272.45";"04";"3";"06";"0";"0";"40";"5";"1272.45";"Temporário"
"202202";"-1";"VENEZUELA";"AMÉRICA DO SUL";"13";"999999";"513435";"5611203";"I";"101";"1";"04";"1272.45";"04";"3";"06";"0";"0";"40";"5";"1272.45";"Temporário"
"202203";"-1";"ARGENTINA";"AMÉRICA DO SUL";"35";"352440";"214405";"2550101";"C";"101";"1";"06";"12107.88";"06";"1";"06";"0";"0";"31";"";"";"Sem informação"
"202203";"-1";"EGITO";"ÁFRICA";"35";"352440";"261420";"2550101";"C";"101";"1";"06";"7138";"04";"3";"06";"0";"0";"31";"";"";"Permanente"
"202203";"-1";"MARROCOS";"ÁFRICA";"35";"352440";"261420";"2550101";"C";"101";"1";"06";"7138";"04";"3";"06";"0";"0";"31";"";"";"Permanente"
"202203";"-1";"NATURALIDADE BRASILEIRA";"NATURALIDADE BRASILEIRA";"35";"352720";"391210";"2550101";"C";"101";"1";"06";"13743.03";"07";"1";"06";"0";"0";"31";"";"";"Sem informação"
"202203";"-1";"COLÔMBIA";"AMÉRICA DO SUL";"35";"354850";"781705";"7490102";"M";"101";"1";"04";"1554.45";"05";"6";"06";"0";"0";"31";"5";"1554.45";"Permanente"
"202203";"1";"CORÉIA DO NORTE";"ÁSIA";"35";"355030";"760310";"1412601";"C";"101";"1";"04";"2800";"05";"1";"06";"0";"0";"97";"";"";"Sem informação"
"202203";"-1";"NATURALIDADE BRASILEIRA";"NATURALIDADE BRASILEIRA";"42";"421670";"763320";"1412601";"C";"101";"3";"04";"1510";"02";"1";"06";"0";"0";"40";"5";"1510";"Sem informação"
"202203";"1";"NATURALIDADE BRASILEIRA";"NATURALIDADE BRASILEIRA";"43";"999999";"212405";"6201501";"J";"101";"1";"06";"9000";"05";"1";"06";"0";"0";"97";"";"";"Sem informação"
"202203";"1";"HAITI";"AMÉRICA CENTRAL E CARIBE";"35";"999999";"414110";"4712100";"G";"101";"1";"04";"1639";"05";"6";"06";"0";"0";"97";"";"";"Sem informação"
"202203";"1";"HAITI";"AMÉRICA CENTRAL E CARIBE";"41";"999999";"514320";"4721104";"G";"101";"3";"04";"1529";"04";"2";"06";"0";"0";"97";"";"";"Sem informação"
"202203";"1";"HAITI";"AMÉRICA CENTRAL E CARIBE";"42";"999999";"519210";"8299799";"N";"101";"1";"04";"1423.38";"04";"6";"06";"0";"0";"97";"";"";"Permanente"
"202203";"-1";"NATURALIDADE BRASILEIRA";"NATURALIDADE BRASILEIRA";"35";"999999";"318610";"2550101";"C";"101";"1";"05";"8162.99";"03";"4";"06";"0";"0";"31";"";"";"Sem informação"
"202203";"-1";"PORTUGAL";"EUROPA";"42";"999999";"716510";"4120400";"F";"101";"3";"04";"10000";"01";"6";"06";"0";"0";"31";"";"";"Sem informação"
"202203";"1";"URUGUAI";"AMÉRICA DO SUL";"42";"999999";"513605";"5611201";"I";"101";"1";"04";"1700";"05";"6";"06";"0";"0";"97";"";"";"Sem informação"
"202203";"1";"HAITI";"AMÉRICA CENTRAL E CARIBE";"42";"999999";"784205";"2451200";"C";"101";"1";"06";"2300";"05";"1";"06";"0";"0";"97";"";"";"Sem informação"
"202203";"-1";"VENEZUELA";"AMÉRICA DO SUL";"13";"999999";"513205";"5611201";"I";"101";"1";"04";"1212";"03";"2";"06";"0";"0";"40";"";"";"Sem informação"
"202203";"1";"VENEZUELA";"AMÉRICA DO SUL";"42";"999999";"783225";"4930202";"H";"101";"1";"04";"1312.28";"04";"3";"06";"0";"0";"97";"";"";"Refugiado/solicitante de refúgio"
"202203";"-1";"ARGENTINA";"AMÉRICA DO SUL";"33";"999999";"422105";"5611201";"I";"101";"1";"04";"1434";"04";"6";"06";"0";"0";"40";"5";"1434";"Permanente"
"202203";"-1";"VENEZUELA";"AMÉRICA DO SUL";"13";"999999";"514320";"8513900";"P";"101";"3";"02";"1212";"05";"6";"06";"0";"0";"32";"5";"1212";"Refugiado/solicitante de refúgio"
"202203";"-1";"VENEZUELA";"AMÉRICA DO SUL";"13";"999999";"848315";"4721104";"G";"101";"1";"04";"1212";"04";"1";"06";"0";"0";"31";"5";"1212";"Sem informação"
"202203";"1";"NATURALIDADE BRASILEIRA";"NATURALIDADE BRASILEIRA";"42";"999999";"234415";"8533300";"P";"111";"1";"06";"15400";"06";"1";"06";"0";"1";"97";"1";"70";"Sem informação"
"202203";"-1";"VENEZUELA";"AMÉRICA DO SUL";"14";"999999";"717020";"4930202";"H";"101";"1";"03";"1212.2";"05";"3";"06";"0";"0";"31";"1";"5.51";"Sem informação"
"202203";"-1";"VENEZUELA";"AMÉRICA DO SUL";"14";"999999";"717020";"4120400";"F";"101";"1";"01";"2017.22";"06";"3";"06";"0";"0";"31";"5";"2017.22";"Temporário"
"202203";"1";"BOLÍVIA";"AMÉRICA DO SUL";"11";"999999";"351430";"6911701";"M";"101";"1";"06";"1212";"05";"6";"06";"0";"0";"97";"5";"1212";"Sem informação"
"202203";"-1";"HAITI";"AMÉRICA CENTRAL E CARIBE";"51";"999999";"716105";"4120400";"F";"101";"1";"04";"2218.73";"05";"6";"06";"0";"0";"31";"5";"2218.73";"Sem informação"
"202203";"-1";"HAITI";"AMÉRICA CENTRAL E CARIBE";"52";"999999";"517115";"9321200";"R";"101";"1";"04";"1212";"04";"3";"06";"0";"0";"31";"5";"1212";"Permanente"
"202203";"-1";"PARAGUAI";"AMÉRICA DO SUL";"35";"999999";"731325";"8211300";"N";"101";"1";"04";"1212";"02";"6";"06";"0";"0";"31";"5";"1212";"Sem informação"
"202203";"-1";"VENEZUELA";"AMÉRICA DO SUL";"51";"999999";"715210";"4120400";"F";"101";"1";"04";"1766.6";"05";"6";"06";"0";"0";"40";"5";"1766.6";"Refugiado/solicitante de refúgio"
"202204";"-1";"EGITO";"ÁFRICA";"33";"330010";"630105";"311601";"A";"101";"1";"01";"1587.32";"07";"1";"06";"0";"0";"31";"5";"1587.32";"Permanente"
"202204";"-1";"VENEZUELA";"AMÉRICA DO SUL";"13";"999999";"515110";"4322302";"F";"101";"1";"04";"1331.87";"04";"3";"07";"0";"0";"40";"5";"1331.87";"Refugiado/solicitante de refúgio"
"202204";"-1";"NATURALIDADE BRASILEIRA";"NATURALIDADE BRASILEIRA";"13";"999999";"515110";"4322302";"F";"101";"1";"04";"1189.7";"04";"3";"07";"0";"0";"40";"5";"1189.7";"Refugiado/solicitante de refúgio"
"202204";"-1";"VENEZUELA";"AMÉRICA DO SUL";"13";"999999";"515110";"4322302";"F";"101";"1";"04";"1189.7";"04";"3";"07";"0";"0";"40";"5";"1189.7";"Sem informação"
"202204";"-1";"HAITI";"AMÉRICA CENTRAL E CARIBE";"35";"999999";"521125";"4789099";"G";"101";"1";"02";"1346.15";"04";"2";"06";"0";"0";"32";"5";"1346.15";"Sem informação"
"202204";"-1";"HAITI";"AMÉRICA CENTRAL E CARIBE";"42";"999999";"514320";"8011101";"N";"101";"3";"03";"1202.47";"03";"2";"05";"0";"0";"31";"5";"1202.47";"Permanente"
"202204";"1";"NATURALIDADE BRASILEIRA";"NATURALIDADE BRASILEIRA";"33";"999999";"514205";"8129000";"N";"101";"1";"04";"1308.8";"02";"3";"06";"0";"0";"97";"5";"1308.8";"Sem informação"
"202204";"1";"PARAGUAI";"AMÉRICA DO SUL";"41";"999999";"631325";"322101";"A";"101";"1";"01";"1818";"04";"1";"06";"0";"0";"97";"5";"1818";"Sem informação"
"202204";"1";"HAITI";"AMÉRICA CENTRAL E CARIBE";"35";"999999";"716610";"4330404";"F";"101";"1";"04";"1752.8";"04";"6";"06";"0";"0";"97";"5";"1752.8";"Sem informação"
"202204";"1";"NATURALIDADE BRASILEIRA";"NATURALIDADE BRASILEIRA";"35";"999999";"422105";"8630503";"Q";"101";"1";"04";"1351.54";"02";"6";"06";"0";"0";"97";"5";"1351.54";"Sem informação"
"202204";"1";"NATURALIDADE BRASILEIRA";"NATURALIDADE BRASILEIRA";"53";"999999";"848305";"4712100";"G";"101";"1";"04";"1600";"04";"3";"06";"0";"0";"97";"5";"1600";"Sem informação"
"202204";"1";"NATURALIDADE BRASILEIRA";"NATURALIDADE BRASILEIRA";"42";"999999";"414140";"5212500";"H";"111";"1";"02";"2250";"03";"6";"05";"0";"1";"97";"2";"75";"Permanente"
"202204";"-1";"VENEZUELA";"AMÉRICA DO SUL";"42";"999999";"514320";"8011101";"N";"101";"1";"04";"1222.93";"03";"6";"06";"0";"0";"32";"5";"1222.93";"Sem informação"
"202205";"1";"MÉXICO";"AMÉRICA DO NORTE";"35";"352500";"121010";"2099199";"C";"101";"1";"07";"52513.12";"05";"1";"06";"0";"0";"97";"5";"52513.12";"Sem informação"
"202205";"-1";"ARÁBIA SAUDITA";"ÁSIA";"35";"352680";"782220";"5212500";"H";"101";"1";"04";"1804.56";"04";"1";"06";"0";"0";"31";"5";"1804.56";"Sem informação"
"202205";"1";"EGITO";"ÁFRICA";"41";"411460";"717020";"4110700";"F";"101";"1";"04";"1496";"04";"6";"06";"0";"0";"97";"5";"1496";"Sem informação"
"202205";"-1";"PARAGUAI";"AMÉRICA DO SUL";"52";"520870";"848510";"4712100";"G";"101";"1";"04";"2314.84";"04";"3";"07";"0";"0";"31";"5";"2314.84";"Permanente"
"202205";"-1";"ARGENTINA";"AMÉRICA DO SUL";"35";"999999";"142315";"8211300";"N";"101";"3";"06";"38740.33";"05";"3";"06";"9";"0";"31";"5";"38740.33";"Sem informação"
"202205";"-1";"HAITI";"AMÉRICA CENTRAL E CARIBE";"42";"999999";"715210";"4120400";"F";"101";"1";"03";"3249";"05";"1";"06";"0";"0";"32";"5";"3249";"Permanente"
"202205";"-1";"HAITI";"AMÉRICA CENTRAL E CARIBE";"33";"999999";"715210";"7820500";"N";"106";"1";"04";"2030.19";"05";"1";"07";"0";"0";"43";"5";"2030.19";"Sem informação"
"202205";"-1";"VENEZUELA";"AMÉRICA DO SUL";"42";"999999";"784205";"2091600";"C";"101";"1";"04";"1704.63";"04";"3";"06";"0";"0";"31";"5";"1704.63";"Sem informação"
"202205";"-1";"VENEZUELA";"AMÉRICA DO SUL";"31";"999999";"513435";"5611203";"I";"101";"3";"04";"1359";"05";"1";"06";"0";"0";"43";"5";"1359";"Sem informação"
"202205";"1";"VENEZUELA";"AMÉRICA DO SUL";"31";"999999";"513435";"5611203";"I";"101";"3";"04";"1359";"05";"1";"06";"0";"0";"97";"5";"1359";"Sem informação"
"202205";"-1";"VENEZUELA";"AMÉRICA DO SUL";"14";"999999";"622105";"111301";"A";"101";"1";"03";"2424";"02";"3";"06";"0";"0";"31";"5";"2424";"Sem informação"
"202205";"1";"VENEZUELA";"AMÉRICA DO SUL";"13";"999999";"513505";"5611203";"I";"101";"3";"04";"1212";"04";"6";"06";"0";"0";"97";"5";"1212";"Refugiado/solicitante de refúgio"
"202205";"-1";"ESTADOS UNIDOS";"AMÉRICA DO NORTE";"33";"999999";"142105";"600001";"B";"101";"1";"06";"65649.07";"06";"6";"05";"0";"0";"31";"5";"65649.07";"Temporário"
"202205";"-1";"PORTUGAL";"EUROPA";"43";"999999";"413110";"4110700";"F";"101";"1";"06";"1212";"06";"6";"05";"0";"0";"31";"5";"1212";"Temporário"
"202205";"-1";"VENEZUELA";"AMÉRICA DO SUL";"13";"999999";"521110";"4781400";"G";"101";"3";"04";"1212";"03";"3";"06";"0";"0";"32";"5";"1212";"Sem informação"
"202205";"-1";"HAITI";"AMÉRICA CENTRAL E CARIBE";"42";"999999";"514320";"8011101";"N";"101";"3";"02";"1322.72";"04";"1";"06";"0";"0";"31";"5";"1322.72";"Permanente"
"202205";"-1";"HAITI";"AMÉRICA CENTRAL E CARIBE";"42";"999999";"514320";"8011101";"N";"101";"3";"04";"1111.75";"03";"6";"05";"0";"0";"31";"5";"1111.75";"Sem informação"
"202206";"-1";"RÚSSIA";"EUROPA";"33";"330455";"252405";"7810800";"N";"101";"3";"06";"13512.85";"04";"1";"07";"0";"0";"31";"5";"13512.85";"Sem informação"
"202206";"1";"NATURALIDADE BRASILEIRA";"NATURALIDADE BRASILEIRA";"35";"350460";"763210";"1412603";"C";"101";"1";"03";"1588";"02";"3";"06";"0";"0";"97";"5";"1588";"Sem informação"
"202206";"1";"NATURALIDADE BRASILEIRA";"NATURALIDADE BRASILEIRA";"35";"350460";"763210";"1412603";"C";"101";"1";"03";"1588";"04";"3";"06";"0";"0";"97";"5";"1588";"Sem informação"
"202206";"1";"HAITI";"AMÉRICA CENTRAL E CARIBE";"35";"352520";"784205";"3101200";"C";"101";"3";"04";"1667";"04";"6";"06";"0";"0";"97";"5";"1667";"Permanente"
"202206";"-1";"VENEZUELA";"AMÉRICA DO SUL";"11";"999999";"142105";"111301";"A";"101";"1";"04";"1235";"05";"6";"06";"0";"0";"31";"5";"1235";"Sem informação"
"202206";"-1";"VENEZUELA";"AMÉRICA DO SUL";"52";"999999";"514325";"3102100";"C";"101";"1";"04";"1454.4";"02";"3";"06";"0";"0";"31";"5";"1454.4";"Sem informação"
"202206";"-1";"VENEZUELA";"AMÉRICA DO SUL";"35";"999999";"513435";"4721102";"G";"101";"1";"04";"1266.9";"02";"1";"06";"0";"0";"40";"5";"1266.9";"Sem informação"
"202206";"-1";"VENEZUELA";"AMÉRICA DO SUL";"42";"999999";"514320";"8020002";"N";"101";"3";"06";"1322.72";"05";"3";"06";"0";"0";"31";"5";"1322.72";"Sem informação"
"202206";"1";"PARAGUAI";"AMÉRICA DO SUL";"41";"999999";"223505";"8630503";"Q";"101";"3";"06";"1205.05";"02";"6";"04";"0";"0";"97";"5";"1205.05";"Sem informação"
"202206";"-1";"VENEZUELA";"AMÉRICA DO SUL";"13";"999999";"783210";"4639701";"G";"101";"1";"04";"1255";"03";"3";"06";"0";"0";"31";"5";"1255";"Sem informação"
"202207";"1";"CUBA";"AMÉRICA CENTRAL E CARIBE";"17";"171820";"848505";"1011201";"C";"101";"1";"04";"1527.77";"06";"6";"06";"0";"0";"97";"5";"1527.77";"Sem informação"
"202207";"-1";"ARGENTINA";"AMÉRICA DO SUL";"24";"999999";"513405";"5611201";"I";"101";"3";"04";"1212";"03";"3";"06";"0";"0";"31";"5";"1212";"Sem informação"
"202207";"-1";"ARGENTINA";"AMÉRICA DO SUL";"24";"999999";"513205";"5611201";"I";"101";"1";"04";"1212";"04";"3";"06";"0";"0";"31";"5";"1212";"Sem informação"
"202207";"-1";"BOLÍVIA";"AMÉRICA DO SUL";"35";"999999";"521140";"4721102";"G";"101";"3";"04";"1666.31";"03";"3";"06";"0";"0";"31";"5";"1666.31";"Sem informação"
"202207";"-1";"ITÁLIA";"EUROPA";"31";"999999";"391210";"2949299";"C";"101";"1";"04";"9774.6";"05";"3";"06";"0";"0";"31";"1";"44.43";"Sem informação"
"202207";"-1";"HAITI";"AMÉRICA CENTRAL E CARIBE";"33";"999999";"717020";"7820500";"N";"106";"1";"02";"2232.8";"04";"6";"07";"0";"0";"43";"5";"2232.8";"Permanente"
"202207";"-1";"HAITI";"AMÉRICA CENTRAL E CARIBE";"33";"999999";"717020";"7820500";"N";"106";"1";"04";"1835.45";"06";"2";"07";"0";"0";"43";"5";"1835.45";"Temporário"
"202207";"-1";"HAITI";"AMÉRICA CENTRAL E CARIBE";"33";"999999";"717020";"7820500";"N";"106";"1";"04";"1835.45";"06";"6";"07";"0";"0";"43";"5";"1835.45";"Sem informação"
"202207";"1";"HAITI";"AMÉRICA CENTRAL E CARIBE";"41";"999999";"954205";"9521500";"S";"101";"1";"06";"1825";"06";"2";"06";"0";"0";"97";"5";"1825";"Sem informação"
"202207";"1";"HAITI";"AMÉRICA CENTRAL E CARIBE";"50";"999999";"514225";"6463800";"K";"101";"1";"04";"1602.93";"04";"2";"06";"0";"0";"97";"5";"1602.93";"Permanente"
"202207";"-1";"VENEZUELA";"AMÉRICA DO SUL";"13";"999999";"992225";"8129000";"N";"101";"1";"01";"1329.6";"05";"3";"06";"0";"0";"40";"5";"1329.6";"Temporário"
